image,status,texts,raw_texts,scores,boxes,destination,note
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741404421821-114944705.jpeg,ok,37H-05078,,0.985,"[87, 339, 249, 413]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741404473357-549311323.jpg,ocr_empty,,,0.350,"[2359, 245, 2996, 480]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741404473357-549311323.jpg,All OCR texts are empty.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741405058824-388473821.jpeg,ocr_empty,,500450,0.861,"[32, 363, 296, 412]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741405058824-388473821.jpeg,All OCR texts are empty. Rejected raw OCR: 500450
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741406432914-331490549.jpg,ocr_empty,,82DDC327569,0.880,"[807, 2330, 1473, 2666]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741406432914-331490549.jpg,All OCR texts are empty. Rejected raw OCR: 82DDC327569
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741407249517-282851866.jpg,ok,37H-04558,,0.809,"[85, 1940, 2098, 2892]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741416820625-455948715.jpg,ok,15D-7221,,0.905,"[462, 2321, 1654, 2572]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741416970523-891544689.jpg,ocr_empty,,37502B,0.915,"[744, 2258, 1336, 2404]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741416970523-891544689.jpg,All OCR texts are empty. Rejected raw OCR: 37502B
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741425280192-562948410.jpg,ok,15S-01507,,0.930,"[356, 1198, 930, 1535]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741427531786-820039543.jpeg,ok,29H-84051,,0.908,"[130, 352, 191, 389]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741432063390-131325456.jpg,ok,37H-07416,,0.914,"[1593, 2281, 2021, 2520]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741432672326-669318840.jpg,ok,20C-27569,,0.912,"[732, 1930, 1077, 2127]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741435072068-765434065.jpg,ok,17C-15595,,0.939,"[202, 888, 381, 988]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741436194556-4672994.jpg,ocr_empty,,779B8100726,0.935,"[125, 878, 502, 977]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741436194556-4672994.jpg,All OCR texts are empty. Rejected raw OCR: 779B8100726
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741436338082-937983005.jpg,ok,98C-31711,,0.875,"[284, 804, 565, 877]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741436812877-75733338.jpg,ok,99E-01779,,0.976,"[561, 515, 953, 706]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741438316983-539194445.jpg,ok,99E-01779,,0.932,"[342, 877, 473, 949]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741438588212-907103651.jpg,ocr_empty,,981094,0.762,"[655, 611, 750, 672]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741438588212-907103651.jpg,All OCR texts are empty. Rejected raw OCR: 981094
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741444275168-684374156.jpeg,ok,20H-01261,,0.914,"[115, 353, 202, 399]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741444913476-36984811.jpg,ok,19H-03095,,0.862,"[412, 870, 538, 952]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741452729910-170319048.jpeg,ok,37D-00043,,0.919,"[130, 355, 201, 377]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741453033944-59315742.jpeg,ok,20H-01261,,0.913,"[131, 351, 193, 385]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741453504164-591648613.jpg,ocr_empty,,2590149,0.877,"[720, 2454, 1628, 2672]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741453504164-591648613.jpg,All OCR texts are empty. Rejected raw OCR: 2590149
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741458326140-161812770.jpeg,ocr_empty,,29KD2399M,0.915,"[120, 348, 194, 373]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741458326140-161812770.jpeg,All OCR texts are empty. Rejected raw OCR: 29KD2399M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741458632020-478612445.jpeg,ocr_empty,,MMMM290000058,0.855,"[114, 355, 225, 386]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741458632020-478612445.jpeg,All OCR texts are empty. Rejected raw OCR: MMMM290000058
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741458792688-146222893.jpg,ocr_empty,,M,0.784,"[332, 808, 655, 903]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741458792688-146222893.jpg,All OCR texts are empty. Rejected raw OCR: M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741460440089-437561430.jpg,ok,29T-07149,,0.893,"[777, 2479, 1516, 2684]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741460769122-625329882.jpeg,ok,43AC-20923,,0.874,"[124, 362, 200, 404]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741461376828-287477994.jpg,ocr_empty,,2E1B0,0.916,"[650, 2239, 1414, 2440]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741461376828-287477994.jpg,All OCR texts are empty. Rejected raw OCR: 2E1B0
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741462809111-403869025.jpg,ok,20FE-00565,,0.902,"[850, 2322, 1314, 2593]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741465668690-526797019.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741465668690-526797019.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741468318195-503237501.jpeg,ok,34MA-04158,,0.904,"[93, 369, 237, 408]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741468749545-419186751.jpeg,ok,20C-18327,,0.921,"[121, 371, 218, 400]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741471123751-154335193.jpg,ocr_empty,,24407,0.849,"[1008, 2487, 1461, 2628]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741471123751-154335193.jpg,All OCR texts are empty. Rejected raw OCR: 24407
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741474295447-696689811.jpeg,ok,29CD-005.82,,0.500,"[148, 345, 216, 390]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741474864069-898776168.jpg,ok,37H-03727,,0.973,"[557, 2194, 1540, 2641]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741478938032-168873389.jpg,ok,99C-30318,,0.927,"[708, 1912, 1142, 2161]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741480434663-158586333.jpg,ok,37N-04588,,0.953,"[259, 1989, 1795, 2747]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741482452775-637008013.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741482452775-637008013.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741483126239-471284327.jpeg,ok,29HN-54638 | , | M99,0.926 | 0.329,"[112, 351, 215, 404] | [130, 132, 213, 171]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741486514830-422060.jpg,ok,37FE-00361,,0.938,"[759, 2230, 1338, 2529]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741487515106-449103275.jpeg,ocr_empty,,37CA357634,0.905,"[129, 361, 208, 404]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741487515106-449103275.jpeg,All OCR texts are empty. Rejected raw OCR: 37CA357634
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741488949219-159657852.jpeg,ok,15T-2774,,0.859,"[22, 283, 313, 437]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741490510726-398482570.jpg,ocr_empty,,9EBBH01504,0.932,"[300, 884, 555, 1012]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741490510726-398482570.jpg,All OCR texts are empty. Rejected raw OCR: 9EBBH01504
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741503265765-267151338.jpg,ok,12MD-00142,,0.842,"[587, 1487, 855, 1634]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741505069608-182504066.jpeg,ok,36CA-91737,,0.829,"[131, 362, 210, 384]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741509057279-420491952.jpg,ok,37H-05650,,0.917,"[761, 2356, 1264, 2602]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741509247764-718830159.jpeg,ok,37H-02657,,0.906,"[121, 351, 223, 403]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741509650892-808536536.jpeg,ok,42A-95999,,0.920,"[115, 350, 194, 396]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741509667161-25692572.jpeg,ocr_empty,,M29C00408,0.926,"[58, 357, 253, 406]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741509667161-25692572.jpeg,All OCR texts are empty. Rejected raw OCR: M29C00408
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741510327221-506412921.jpg,ocr_empty,,499C02958,0.830,"[277, 285, 386, 351]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741510327221-506412921.jpg,All OCR texts are empty. Rejected raw OCR: 499C02958
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741511967437-924771359.jpg,ok,37H-05889,,0.957,"[542, 1854, 1204, 2145]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741512532991-834495066.jpeg,ok,34C-17767,,0.905,"[134, 337, 204, 373]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741513227384-606935385.jpg,ok,36M-6968,,0.851,"[269, 376, 397, 416]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741514568973-287627695.jpg,ok,73G-46721,,0.898,"[204, 731, 630, 844]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741514867377-223875087.jpg,ok,98T-5471,,0.870,"[208, 938, 514, 1020]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741515382140-687971978.jpeg,ocr_empty,,MMZDC05981,0.960,"[101, 360, 231, 397]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741515382140-687971978.jpeg,All OCR texts are empty. Rejected raw OCR: MMZDC05981
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741518416141-681131184.jpg,ok,37H-04588,,0.952,"[694, 2248, 1566, 2694]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741518439669-54643586.jpg,ok,37H-04588,,0.929,"[854, 2380, 1479, 2705]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741518952177-258963417.jpg,ok,12H-00002,,0.938,"[505, 577, 614, 654]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741524462367-203251053.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741524462367-203251053.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741527384678-603599088.jpg,ok,37H-04014 | , | ,0.957 | 0.371,"[570, 747, 697, 821] | [1096, 776, 1274, 956]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741532406643-147916479.jpg,ok,29HC-00542,,0.898,"[734, 2312, 1586, 2762]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741540413207-180625060.jpeg,ocr_empty,,0004,0.906,"[116, 345, 260, 382]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741540413207-180625060.jpeg,All OCR texts are empty. Rejected raw OCR: 0004
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741549088955-691196989.jpg,ok,34C-24627,,0.956,"[835, 2230, 1385, 2529]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741553224204-159657911.jpg,ocr_empty,,2M0297,0.820,"[827, 2446, 1582, 2643]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741553224204-159657911.jpg,All OCR texts are empty. Rejected raw OCR: 2M0297
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741559981446-571575761.jpeg,ocr_empty,,34C208886,0.958,"[116, 379, 207, 427]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741559981446-571575761.jpeg,All OCR texts are empty. Rejected raw OCR: 34C208886
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741565022558-341488624.jpg,ok,37D-7725,,0.932,"[678, 2239, 1425, 2615]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741566174063-507646795.jpeg,ok,43AE-00643,,0.877,"[107, 366, 197, 420]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741567888114-872966768.jpg,ok,98BE-00249,,0.982,"[861, 2227, 1203, 2424]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741569959181-507839380.jpeg,ok,29T-90705,,0.916,"[117, 384, 221, 414]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741571379999-591695751.jpg,ocr_empty,,393521,0.944,"[784, 2355, 1380, 2518]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741571379999-591695751.jpg,All OCR texts are empty. Rejected raw OCR: 393521
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741571827866-28922619.jpg,ocr_empty,,M3AA444437M0171,0.925,"[700, 1906, 1108, 2117]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741571827866-28922619.jpg,All OCR texts are empty. Rejected raw OCR: M3AA444437M0171
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741579251232-899638841.jpeg,ocr_empty,,1373M50,0.928,"[120, 359, 225, 390]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741579251232-899638841.jpeg,All OCR texts are empty. Rejected raw OCR: 1373M50
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741581630633-298651619.jpg,ok,37FE-00361,,0.918,"[764, 2318, 1279, 2592]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741585924491-208010751.jpeg,ok,37H-01595,,0.910,"[128, 359, 198, 394]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741588560299-996297803.jpg,ok,34T-19202,,0.922,"[116, 859, 465, 954]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741591133663-318573723.jpeg,ocr_empty,,37GS28800M,0.874,"[135, 374, 196, 419]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741591133663-318573723.jpeg,All OCR texts are empty. Rejected raw OCR: 37GS28800M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741592551373-348293533.jpeg,ok,37C-46594 | , | ,0.893 | 0.390,"[136, 352, 200, 392] | [119, 80, 234, 137]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741593799688-20495595.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741593799688-20495595.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741593979265-505422767.jpg,ok,15M-08947,,0.906,"[396, 1613, 1017, 1751]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741594785944-234900187.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741594785944-234900187.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741594827372-734639422.jpeg,ok,15C-12774,,0.940,"[109, 349, 207, 399]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741595467164-475721948.jpeg,ok,15M-10250,,0.919,"[98, 358, 226, 390]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741595486670-37575835.jpg,ocr_empty,,15M250,0.929,"[515, 1946, 1202, 2126]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741595486670-37575835.jpg,All OCR texts are empty. Rejected raw OCR: 15M250
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741596268290-872814277.jpg,ok,37C-46594,,0.896,"[885, 2247, 1333, 2495]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741597849474-140463953.jpg,ok,37C-28898,,0.862,"[920, 2360, 1478, 2799]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741600078576-604739499.jpg,ocr_empty,,MMMMMMMMMMMMMMMMM14339170,0.949,"[744, 2374, 1441, 2536]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741600078576-604739499.jpg,All OCR texts are empty. Rejected raw OCR: MMMMMMMMMMMMMMMMM14339170
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741601712893-765219526.jpg,ok,29A-8033,,0.950,"[75, 723, 548, 846]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741601860434-897512938.jpeg,ok,51C-41403,,0.964,"[98, 330, 243, 411]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741604210296-581153814.jpg,ok,37C-26485,,0.938,"[636, 1866, 1153, 2113]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741605241839-887909954.jpg,ok,37C-46594,,0.940,"[392, 1145, 588, 1265]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741620734130-348773671.jpg,ok,37C-28309,,0.934,"[787, 2303, 1432, 2612]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741622963851-91502508.jpeg,ok,37H-06779,,0.953,"[92, 344, 246, 416]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741623519432-574900488.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741623519432-574900488.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741623597196-604996735.jpg,ok,34C-12702,,0.849,"[622, 754, 741, 823]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741626183524-453405697.jpg,ok,34C-12702,,0.925,"[729, 2237, 1233, 2506]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741629968431-96730881.jpg,ok,37H-06799,,0.979,"[307, 1990, 1805, 2665]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741642956557-382317836.jpg,ok,29T-0971,,0.926,"[708, 1972, 1082, 2095]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741645201693-231411688.jpg,ok,20C-05973,,0.893,"[811, 2377, 1317, 2643]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741656593182-692130477.jpg,ok,37H-03215,,0.878,"[932, 2406, 1511, 2723]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741656731770-393658162.jpg,ok,37M-00803,,0.952,"[265, 1736, 1598, 2443]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741657456558-41297278.jpg,ok,37H-07725,,0.845,"[794, 2280, 1383, 2574]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741657732839-78749735.jpg,ocr_empty,,22Z-0208,0.846,"[458, 1574, 1090, 1767]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741657732839-78749735.jpg,All OCR texts are empty. Rejected raw OCR: 22Z-0208
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741658011270-527053142.jpeg,ocr_empty,,37THM08750N,0.933,"[106, 356, 230, 389]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741658011270-527053142.jpeg,All OCR texts are empty. Rejected raw OCR: 37THM08750N
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741658314348-633574180.jpg,ok,20CC-06244,,0.849,"[830, 2351, 1259, 2557]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741658363774-866106709.jpg,ok,34FE-01289,,0.946,"[343, 1094, 734, 1278]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741658677518-592740021.jpg,ok,37H-03727,,0.925,"[754, 2278, 1382, 2585]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741659622828-973526910.jpg,ok,37H-02143,,0.938,"[546, 1581, 878, 1772]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741660287156-263000182.jpeg,ok,20C-06782,,0.904,"[142, 367, 206, 400]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741660835982-260017850.jpeg,ocr_empty,,22Z222988E00449,0.926,"[116, 353, 219, 408]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741660835982-260017850.jpeg,All OCR texts are empty. Rejected raw OCR: 22Z222988E00449
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741662136692-396013847.jpg,ok,20C-05973,,0.906,"[858, 2359, 1286, 2586]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741662222342-380905665.jpeg,ok,37H-02657,,0.936,"[92, 359, 217, 422]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741662610993-539774095.jpg,ok,37H-00891,,0.926,"[900, 2305, 1332, 2533]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741662960920-372277098.jpg,ok,29K-19723,,0.944,"[1584, 2280, 2367, 2691]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741663374954-320059109.jpg,ocr_empty, | ,01 | ,0.940 | 0.682,"[544, 2075, 1267, 2251] | [1346, 932, 1785, 1263]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741663374954-320059109.jpg,All OCR texts are empty. Rejected raw OCR: 01
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741664096308-453407791.jpeg,ok,37H-09040,,0.906,"[126, 351, 224, 404]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741667267900-945628654.jpg,ocr_empty,,36GC1072988,0.923,"[838, 2411, 1419, 2567]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741667267900-945628654.jpg,All OCR texts are empty. Rejected raw OCR: 36GC1072988
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741669052102-357219099.jpeg,ok,37H-02657,,0.934,"[113, 358, 217, 416]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741675377786-736495039.jpeg,ok,37HM-07865,,0.906,"[109, 362, 227, 390]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741678194365-105885688.jpg,ok,99C-02958,,0.917,"[767, 2322, 1261, 2612]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741678511019-396444121.jpg,ocr_empty,,H415,0.936,"[1794, 5601, 3001, 6299]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1741678511019-396444121.jpg,All OCR texts are empty. Rejected raw OCR: H415
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1741679712019-433041869.jpg,ok,29S-7507,,0.928,"[630, 2331, 1516, 2603]",,At least one OCR text has a valid Vietnamese plate format.
